,$X_1\beta \approx Y$,$X_2\beta \approx Y$,$X_1\beta \approx X_2$,$X_2\beta \approx X_1$,$X_1'\beta \approx Y$,$X_2'\beta \approx Y$
183,0.7347104,0.63747835,0.9846539497375488,0.9849182367324829,0.26918232,0.26578814
184,0.7422607,0.5099531,0.9849813580513,0.9835889339447021,0.19032687,0.14982289
185,0.7407234,0.5320643,0.9864786863327026,0.9869856834411621,0.13528305,0.1264708
186,0.74626786,0.425089,0.9830471277236938,0.982480525970459,0.38021863,0.12698185
187,0.7001587,0.5665141,0.9894106388092041,0.988852322101593,0.18523711,0.13383615
188,0.75577694,0.5476788,0.9818745255470276,0.9800143837928772,0.25134164,0.11407387
189,0.77792525,0.63045037,0.987250566482544,0.9877744913101196,0.38363576,0.27825403
190,0.7576461,0.6482669,0.9888927936553955,0.9859557151794434,0.3792966,0.09582591
191,0.7423575,0.6623157,0.9880236387252808,0.9865121245384216,0.2135768,0.10897595
192,0.7339535,0.53990686,0.9850626587867737,0.9849052429199219,0.47736168,0.11023289
193,0.7686338,0.68989825,0.9858525991439819,0.982887327671051,0.22618848,0.2523321
194,0.70117974,0.6283965,0.9887767434120178,0.9907379150390625,0.23003018,0.16045403
195,0.6951624,0.6138953,0.9864005446434021,0.9880734086036682,0.3099497,0.20348233
196,0.7437492,0.569943,0.9859032034873962,0.9887254238128662,0.3431599,0.055256963
197,0.6894742,0.60650903,0.9812971949577332,0.9809231758117676,0.32035732,0.07774562
198,0.6940658,0.51223755,0.9832154512405396,0.9872830510139465,0.22968823,0.17562228
199,0.8140565,0.5566419,0.9883666634559631,0.9858914017677307,0.2951489,0.12149161
200,0.7459499,0.62052363,0.9850476980209351,0.9839987754821777,0.21859187,0.14116395
201,0.64527106,0.5928494,0.9875524640083313,0.9854204654693604,0.16722852,0.17493623
202,0.7099842,0.5502,0.9907479882240295,0.9869998693466187,0.3389023,0.16023117
203,0.77772474,0.565363,0.9854220747947693,0.9870446920394897,0.24821955,0.061672747
204,0.74080086,0.623381,0.9861018061637878,0.987861692905426,0.27667576,0.1764502
205,0.70246816,0.56596255,0.981278657913208,0.9848802089691162,0.28906548,0.16050863
206,0.7592793,0.55809426,0.9876609444618225,0.9873929023742676,0.25004274,0.11021352
207,0.6746586,0.4386828,0.9852401614189148,0.9835852980613708,0.19469345,0.0980463
208,0.7865688,0.43753242,0.985674262046814,0.9868221282958984,0.30836868,-0.008907318
209,0.7331237,0.63100797,0.9875284433364868,0.9860279560089111,0.11214,0.20611852
210,0.68859696,0.5250331,0.9873834252357483,0.9872244596481323,0.3066646,0.08157772
211,0.8013692,0.6391181,0.987729012966156,0.987120509147644,0.33400393,0.12298143
212,0.8078536,0.57333004,0.9862453937530518,0.9794056415557861,0.42282492,0.10647941
213,0.7276329,0.56602526,0.9829909205436707,0.9839213490486145,0.24518251,0.10775077
214,0.702144,0.6394598,0.9869093298912048,0.9868574738502502,0.30203706,0.18483758
215,0.6997843,0.6851796,0.9835156798362732,0.9824470281600952,0.16607225,0.16150045
216,0.6636738,0.6084213,0.9847047924995422,0.9822326898574829,0.31684154,0.10319871
217,0.7831573,0.5115446,0.9883703589439392,0.9881161451339722,0.4140268,0.07651162
218,0.6857233,0.54337394,0.9906056523323059,0.9933187961578369,0.3090135,0.10694677
219,0.73577553,0.6901814,0.9894736409187317,0.9880519509315491,0.13372588,0.1656751
220,0.7751536,0.6958554,0.9828460812568665,0.9812811017036438,0.3638295,0.19121933
221,0.6857666,0.5969943,0.9862304925918579,0.98348468542099,0.20048219,0.18847132
222,0.7100295,0.64686745,0.9767410159111023,0.9853489995002747,0.15074825,0.10428083
