,$X_1$,$X_2$,$X_1'_{ridge}$,$X_2'_{ridge}$,$X_1'_{OLS}$,$X_2'_{OLS}$
216,0.66188496,0.47629392,0.43907452,0.11347443,0.4401726,0.12600338
217,0.79401654,0.3481288,0.5684413,0.07617378,0.5801172,0.080823004
218,0.69805956,0.38728368,0.45998067,0.10004705,0.4653151,0.09673053
219,0.7080031,0.5412209,0.24257171,0.14907587,0.2230764,0.13940907
220,0.7715678,0.5676778,0.49723762,0.20365953,0.47636598,0.20054293
221,0.6788993,0.43531412,0.35055578,0.17760968,0.37320274,0.18364722
222,0.69171196,0.47040975,0.29953963,0.10368997,0.28192323,0.10084468
223,0.63531005,0.44131994,0.32892746,0.119247556,0.2931866,0.10746503
224,0.7222418,0.4307077,0.44706607,0.18865097,0.43801033,0.17982596
225,0.65347314,0.4038527,0.29771054,0.08260244,0.32102615,0.052102387
226,0.7208834,0.35645843,0.4809234,0.21237808,0.44293022,0.21454704
227,0.7120321,0.38245237,0.40708447,0.12522137,0.38286632,0.10911214
228,0.7324203,0.48341078,0.5062829,0.16002584,0.49420363,0.18007296
229,0.68884647,0.34460342,0.49351025,0.14288884,0.49823666,0.13651341
230,0.7220168,0.49300367,0.31368184,0.17199463,0.2921018,0.16148382
231,0.76476705,0.52536494,0.41810846,0.19668162,0.4073128,0.19944191
232,0.68447924,0.45097107,0.42848408,0.2024045,0.41149646,0.20605725
233,0.74049515,0.41321427,0.5060348,0.14478362,0.47996843,0.14770651
234,0.74219126,0.44881558,0.4549892,0.20271736,0.45797235,0.19133526
235,0.81375146,0.3445986,0.6695577,0.13590968,0.68317425,0.14644957
236,0.73779565,0.48204666,0.38077593,0.139759,0.38579428,0.1383757
237,0.7474395,0.39483064,0.42222643,0.14279705,0.41359925,0.13169086
238,0.72876245,0.47146225,0.3800094,0.19943506,0.37354696,0.20135742
239,0.7491822,0.5872308,0.36010468,0.11077702,0.3182696,0.1309557
240,0.7525062,0.31715184,0.46551818,0.13060546,0.44665307,0.11741561
241,0.76637286,0.5148864,0.37941545,0.14014506,0.36642653,0.16110665
242,0.77663547,0.5639498,0.37534237,0.2407009,0.3681242,0.22797394
243,0.6631708,0.3002569,0.4313758,0.13057369,0.40948963,0.11816579
244,0.7297261,0.555267,0.45674592,0.23933774,0.42722446,0.24378371
245,0.8139276,0.47360885,0.4877097,0.1622923,0.46577448,0.15118039
246,0.76630044,0.45470852,0.46078765,0.14099556,0.4518698,0.14697248
247,0.77133435,0.42397785,0.54076517,0.132716,0.48217428,0.12626326
248,0.84876543,0.4299388,0.58362144,0.02116865,0.5835194,0.030270576
249,0.79566574,0.4977802,0.50436795,0.22756499,0.50627434,0.2310524
