,$(X_1\cup X_2)\beta \approx Y$,$X_1\beta \approx Y$,$X_2\beta \approx Y$,$R^2(X_1\beta \approx Y)\cap R^2(X_2\beta \approx Y)$,$R^2(X_1\beta \approx Y) \setminus R^2(X_2\beta \approx Y)$,$R^2(X_2\beta \approx Y) \setminus R^2(X_1\beta \approx Y)$
8152,0.8994291,0.7062609,0.26784325,0.07467508,0.63158584,0.19316816
8153,0.8956812,0.7253314,0.41563308,0.2452833,0.48004812,0.17034978
8154,0.9047539,0.7352594,0.36573833,0.19624376,0.53901565,0.16949457
8155,0.8915646,0.7767656,0.5231633,0.4083643,0.3684013,0.11479902
8156,0.8818921,0.6962929,0.40409523,0.21849597,0.4777969,0.18559927
8157,0.90275836,0.7990711,0.40900946,0.30532217,0.4937489,0.10368729
8158,0.87214553,0.7142308,0.36231238,0.20439756,0.5098332,0.15791482
8159,0.9087655,0.7753336,0.48282093,0.34938902,0.42594457,0.13343191
8160,0.8930068,0.7923566,0.40175503,0.30110478,0.49125183,0.10065025
8161,0.905598,0.83436185,0.46526885,0.39403266,0.4403292,0.07123619
8162,0.9111398,0.7639003,0.4280448,0.2808053,0.483095,0.1472395
8163,0.90263337,0.77105063,0.43878,0.30719727,0.46385336,0.13158274
8164,0.9180149,0.74164057,0.43620753,0.25983322,0.48180735,0.17637432
8165,0.90133315,0.77332807,0.4402395,0.31223434,0.46109372,0.12800515
8166,0.894154,0.703153,0.59177184,0.40077084,0.30238217,0.191001
8167,0.91438675,0.75037336,0.48059148,0.31657815,0.4337952,0.16401333
8168,0.91070557,0.7751738,0.5688856,0.4333539,0.34181988,0.13553172
8169,0.8843031,0.74783576,0.36758423,0.23111689,0.51671886,0.13646734
8170,0.8888066,0.7602761,0.37863642,0.25010586,0.5101702,0.12853056
8171,0.86609447,0.72505283,0.4033692,0.26232755,0.46272528,0.14104164
8172,0.8663869,0.73143685,0.31167048,0.17672038,0.55471647,0.1349501
8173,0.9132885,0.7540912,0.47010934,0.310912,0.4431792,0.15919733
8174,0.88775635,0.71964675,0.47324073,0.3051312,0.41451555,0.16810954
8175,0.9107561,0.7555397,0.487091,0.3318746,0.4236651,0.1552164
8176,0.9055903,0.7518352,0.36916023,0.21540523,0.53643,0.15375501
8177,0.89451414,0.7214449,0.44409192,0.27102274,0.45042217,0.17306918
8178,0.88192135,0.71825004,0.5370443,0.37337297,0.34487706,0.16367131
8179,0.8999143,0.71838504,0.5225992,0.34106988,0.37731516,0.18152934
8180,0.8812784,0.6971774,0.43476313,0.2506622,0.4465152,0.18410093
8181,0.91248524,0.78220975,0.4734645,0.343189,0.43902075,0.13027549
8182,0.89420456,0.7702763,0.3581506,0.23422235,0.53605396,0.12392825
8183,0.88113725,0.6683484,0.46059817,0.24780929,0.42053908,0.21278888
8184,0.8860334,0.7618356,0.36375475,0.23955691,0.52227867,0.12419784
8185,0.8957289,0.75735,0.49189425,0.35351533,0.4038347,0.13837892
8186,0.89305544,0.7171912,0.46721268,0.29134846,0.42584276,0.17586422
8187,0.88188875,0.71334445,0.31019032,0.14164603,0.5716984,0.16854429
8188,0.905087,0.77880526,0.4653809,0.33909917,0.4397061,0.12628174
8189,0.91444564,0.7762122,0.4205445,0.28231108,0.49390113,0.13823342
8190,0.8841189,0.8080066,0.35959077,0.28347838,0.5245282,0.07611239
8191,0.9151319,0.7499564,0.47251272,0.30733716,0.44261926,0.16517556
8192,0.8772934,0.7546221,0.4300304,0.30735916,0.44726294,0.12267125
8193,0.9093509,0.7563851,0.3914739,0.2385081,0.517877,0.15296578
8194,0.89480937,0.71021414,0.45619112,0.27159584,0.4386183,0.18459529
8195,0.88957834,0.70563287,0.42960656,0.24566102,0.45997185,0.18394554
8196,0.9161001,0.8006388,0.5498673,0.43440598,0.3662328,0.11546129
8197,0.8649394,0.6271836,0.36085522,0.12309945,0.50408417,0.23775578
8198,0.9293237,0.81167966,0.40084285,0.28319883,0.5284808,0.11764401
8199,0.88126564,0.766818,0.4276632,0.3132155,0.4536025,0.11444771
8200,0.8814941,0.72583055,0.40511203,0.24944848,0.47638208,0.15566355
8201,0.8580555,0.7610106,0.31050444,0.21345961,0.547551,0.097044826
8202,0.84235275,0.66120803,0.30546188,0.12431717,0.53689086,0.18114471
8203,0.8868832,0.72543776,0.41154557,0.2501002,0.47533756,0.16144538
8204,0.87772304,0.7107315,0.31942272,0.15243119,0.5583003,0.16699153
8205,0.91350466,0.74323606,0.4993019,0.32903332,0.41420275,0.1702686
8206,0.91010475,0.7306963,0.48748773,0.30807924,0.42261708,0.17940849
8207,0.8900253,0.7570404,0.4771058,0.3441208,0.41291958,0.132985
8208,0.879213,0.7056806,0.2207098,0.047177434,0.6585032,0.17353237
8209,0.9055417,0.7527871,0.38154268,0.22878808,0.52399904,0.1527546
8210,0.8973272,0.7086655,0.54920495,0.36054325,0.34812224,0.1886617
8211,0.87591034,0.70352876,0.3745144,0.20213288,0.5013959,0.17238152
8212,0.9146575,0.7836541,0.3950802,0.26407683,0.51957726,0.13100338
8213,0.89715695,0.76120335,0.34336323,0.20740962,0.5537937,0.1359536
8214,0.90711087,0.7231635,0.4388277,0.25488025,0.46828324,0.18394744
8215,0.9026593,0.7413804,0.47427183,0.31299293,0.42838746,0.1612789
8216,0.9199273,0.7414118,0.37471664,0.19620115,0.54521066,0.1785155
8217,0.89495033,0.7499261,0.44391805,0.29889375,0.45103234,0.1450243
8218,0.9069196,0.78926396,0.4163224,0.29866683,0.49059713,0.117655575
8219,0.86082554,0.62468576,0.39938807,0.1632483,0.46143746,0.23613977
8220,0.87417346,0.7384488,0.4359408,0.30021614,0.43823266,0.13572466
8221,0.9113391,0.7795789,0.47974455,0.34798437,0.43159455,0.13176018
8222,0.8690139,0.68176925,0.40811056,0.22086585,0.4609034,0.18724471
8223,0.89857495,0.7611238,0.46873438,0.3312832,0.42984056,0.13745117
8224,0.88112,0.7068598,0.45001197,0.27575177,0.43110806,0.1742602
8225,0.91135764,0.72727656,0.3938824,0.20980132,0.51747525,0.18408108
8226,0.85194707,0.66212547,0.41682333,0.22700167,0.4351238,0.18982166
8227,0.86976856,0.69995093,0.36985248,0.20003492,0.49991602,0.16981757
8228,0.9179018,0.75824267,0.51975656,0.36009735,0.39814532,0.1596592
8229,0.89190537,0.7191348,0.3518613,0.17909068,0.5400441,0.17277062
8230,0.89122087,0.73345304,0.35305005,0.19528216,0.5381709,0.15776789
8231,0.87490594,0.69121194,0.31270367,0.1290096,0.56220233,0.18369406
8232,0.8844365,0.75585026,0.30282843,0.17424214,0.5816081,0.12858629
8233,0.92469686,0.79302925,0.33659333,0.20492572,0.58810353,0.13166761
8234,0.86933535,0.6899309,0.3493908,0.16998631,0.5199446,0.1794045
8235,0.89351594,0.70581937,0.34452778,0.15683115,0.5489882,0.18769664
8236,0.9004178,0.786973,0.4109872,0.29754233,0.48943067,0.113444865
8237,0.882623,0.6627426,0.30980265,0.08992225,0.57282037,0.2198804
8238,0.8972102,0.7764415,0.53107,0.4103014,0.36614013,0.12076861
8239,0.9011481,0.7424625,0.42039382,0.26170826,0.48075426,0.15868556
8240,0.9009551,0.7380952,0.3362339,0.17337406,0.56472117,0.16285986
8241,0.9068138,0.7150247,0.39577258,0.20398349,0.5110412,0.19178909
8242,0.92585015,0.82107115,0.49741614,0.39263713,0.428434,0.104779005
8243,0.9193937,0.7372792,0.55818874,0.37607414,0.36120504,0.1821146
8244,0.8736077,0.7196196,0.36635405,0.21236593,0.50725365,0.15398812
